2025-03-10 16:18:27,862 - AVC - Arming Drone
2025-03-10 16:18:31,957 - AVC - UAV START: TAKING OFF
2025-03-10 16:19:43,091 - AVC - Received from Jetson: [32.9937526, -96.7538141]1

2025-03-10 16:19:43,091 - AVC - ArUco Marker Found At [32.9937526, -96.7538141]
2025-03-10 16:19:44,092 - AVC - Received from Jetson: [32.9937526, -96.7538141]1

2025-03-10 16:19:44,093 - AVC - ArUco Marker Found At [32.9937526, -96.7538141]
2025-03-10 16:19:45,094 - AVC - Received from Jetson: [32.9937526, -96.7538141]1

2025-03-10 16:19:45,094 - AVC - ArUco Marker Found At [32.9937526, -96.7538141]
2025-03-10 16:19:46,095 - AVC - Received from Jetson: [32.9937526, -96.7538141]1

2025-03-10 16:19:46,095 - AVC - ArUco Marker Found At [32.9937526, -96.7538141]
2025-03-10 16:19:47,098 - AVC - Received from Jetson: [32.9937526, -96.7538141]1

2025-03-10 16:19:47,101 - AVC - ArUco Marker Found At [32.9937526, -96.7538141]
2025-03-10 16:19:48,103 - AVC - Received from Jetson: [32.9937526, -96.7538141]1

2025-03-10 16:19:48,103 - AVC - ArUco Marker Found At [32.9937526, -96.7538141]
2025-03-10 16:19:49,105 - AVC - Received from Jetson: [32.9937526, -96.7538141]1

2025-03-10 16:19:49,106 - AVC - ArUco Marker Found At [32.9937526, -96.7538141]
2025-03-10 16:19:50,108 - AVC - Received from Jetson: [32.9937526, -96.7538141]1

2025-03-10 16:19:50,108 - AVC - ArUco Marker Found At [32.9937526, -96.7538141]
2025-03-10 16:19:51,110 - AVC - Received from Jetson: [32.9937526, -96.7538141]1

2025-03-10 16:19:51,110 - AVC - ArUco Marker Found At [32.9937526, -96.7538141]
2025-03-10 16:19:52,111 - AVC - Received from Jetson: [32.9937526, -96.7538141]1

2025-03-10 16:19:52,112 - AVC - ArUco Marker Found At [32.9937526, -96.7538141]
2025-03-10 16:19:53,113 - AVC - Received from Jetson: [32.9937526, -96.7538141]1

2025-03-10 16:19:53,113 - AVC - ArUco Marker Found At [32.9937526, -96.7538141]
2025-03-10 16:19:54,115 - AVC - Received from Jetson: [32.9937526, -96.7538141]1

2025-03-10 16:19:54,115 - AVC - ArUco Marker Found At [32.9937526, -96.7538141]
2025-03-10 16:19:55,117 - AVC - Received from Jetson: [32.9937526, -96.7538141]1

2025-03-10 16:19:55,117 - AVC - ArUco Marker Found At [32.9937526, -96.7538141]
2025-03-10 16:19:56,119 - AVC - Received from Jetson: [32.9937526, -96.7538141]1

2025-03-10 16:19:56,119 - AVC - ArUco Marker Found At [32.9937526, -96.7538141]
2025-03-10 16:19:57,121 - AVC - Received from Jetson: [32.9937526, -96.7538141]1

2025-03-10 16:19:57,122 - AVC - ArUco Marker Found At [32.9937526, -96.7538141]
2025-03-10 16:19:58,123 - AVC - Received from Jetson: [32.9937526, -96.7538141]1

2025-03-10 16:19:58,123 - AVC - ArUco Marker Found At [32.9937526, -96.7538141]
2025-03-10 16:19:59,125 - AVC - Received from Jetson: [32.9937526, -96.7538141]1

2025-03-10 16:19:59,126 - AVC - ArUco Marker Found At [32.9937526, -96.7538141]
2025-03-10 16:20:00,127 - AVC - Received from Jetson: [32.9937526, -96.7538141]1

2025-03-10 16:20:00,128 - AVC - ArUco Marker Found At [32.9937526, -96.7538141]
2025-03-10 16:20:01,130 - AVC - Received from Jetson: [32.9937526, -96.7538141]1

2025-03-10 16:20:01,130 - AVC - ArUco Marker Found At [32.9937526, -96.7538141]
2025-03-10 16:20:02,132 - AVC - Received from Jetson: [32.9937526, -96.7538141]1

2025-03-10 16:20:02,132 - AVC - ArUco Marker Found At [32.9937526, -96.7538141]
2025-03-10 16:20:03,134 - AVC - Received from Jetson: [32.9937526, -96.7538141]1

2025-03-10 16:20:03,135 - AVC - ArUco Marker Found At [32.9937526, -96.7538141]
2025-03-10 16:20:04,137 - AVC - Received from Jetson: [32.9937526, -96.7538141]1

2025-03-10 16:20:04,137 - AVC - ArUco Marker Found At [32.9937526, -96.7538141]
2025-03-10 16:20:05,140 - AVC - Received from Jetson: [32.9937526, -96.7538141]1

2025-03-10 16:20:05,140 - AVC - ArUco Marker Found At [32.9937526, -96.7538141]
2025-03-10 16:20:06,141 - AVC - Received from Jetson: [32.9937526, -96.7538141]1

2025-03-10 16:20:06,142 - AVC - ArUco Marker Found At [32.9937526, -96.7538141]
2025-03-10 16:20:07,143 - AVC - Received from Jetson: [32.9937526, -96.7538141]1

2025-03-10 16:20:07,143 - AVC - ArUco Marker Found At [32.9937526, -96.7538141]
2025-03-10 16:20:08,145 - AVC - Received from Jetson: [32.9937526, -96.7538141]1

2025-03-10 16:20:08,146 - AVC - ArUco Marker Found At [32.9937526, -96.7538141]
2025-03-10 16:20:09,147 - AVC - Received from Jetson: [32.9937526, -96.7538141]1

2025-03-10 16:20:09,147 - AVC - ArUco Marker Found At [32.9937526, -96.7538141]
2025-03-10 16:20:10,149 - AVC - Received from Jetson: [32.9937526, -96.7538141]1

2025-03-10 16:20:10,149 - AVC - ArUco Marker Found At [32.9937526, -96.7538141]
2025-03-10 16:20:11,151 - AVC - Received from Jetson: [32.9937526, -96.7538141]1

2025-03-10 16:20:11,152 - AVC - ArUco Marker Found At [32.9937526, -96.7538141]
2025-03-10 16:20:12,153 - AVC - Received from Jetson: [32.9937526, -96.7538141]1

2025-03-10 16:20:12,153 - AVC - ArUco Marker Found At [32.9937526, -96.7538141]
2025-03-10 16:20:13,155 - AVC - Received from Jetson: [32.9937526, -96.7538141]1

2025-03-10 16:20:13,155 - AVC - ArUco Marker Found At [32.9937526, -96.7538141]
2025-03-10 16:20:14,157 - AVC - Received from Jetson: [32.9937526, -96.7538141]1

2025-03-10 16:20:14,158 - AVC - ArUco Marker Found At [32.9937526, -96.7538141]
2025-03-10 16:20:15,159 - AVC - Received from Jetson: [32.9937526, -96.7538141]1

2025-03-10 16:20:15,159 - AVC - ArUco Marker Found At [32.9937526, -96.7538141]
2025-03-10 16:20:16,161 - AVC - Received from Jetson: [32.9937526, -96.7538141]1

2025-03-10 16:20:16,162 - AVC - ArUco Marker Found At [32.9937526, -96.7538141]
2025-03-10 16:20:17,163 - AVC - Received from Jetson: [32.9937526, -96.7538141]1

